id,treatment,claim,category,expected_verdict,actual_verdict,actual_citations,actual_explanation,investigation_notes
2,Applied Relaxation,A relaxation-based technique that teaches patients to systematically relax muscle groups is effective for generalized anxiety disorder.,well-supported,Supported,Supported with caveat,18221441; 22506794; 23731329; 19218829; 23888107; 10937426; 35311299,"The evidence indicates that Applied Relaxation (AR), a technique involving learning relaxation skills and applying them at the first sign of anxiety, is an efficacious treatment for Generalized Anxiety Disorder (GAD). Multiple studies show AR leads to significant symptom reductions, comparable to other established treatments like Cognitive Behavioral Therapy (CBT). However, the evidence also suggests that the mechanisms of action are not fully understood, with some studies finding that change in worry may not be as strongly accounted for by AR as by CBT, and that clinical effects might be moderate and not solely attributable to reduced muscle tension or autonomic activation. Additionally, some studies noted a moderate dropout rate and occasional relapses.",
5,Buspirone,Buspirone is an effective treatment for generalized anxiety disorder.,second-line,Supported,Supported with caveat,26288293; 30056792; 21950420; 25389538; 12625796; 41562592; 25268297,"Buspirone is recognized as a treatment option for generalized anxiety disorder (GAD), with some sources indicating it as a second-line pharmacotherapy after SSRIs and SNRIs in adults. However, it is noted that buspirone has negligible antidepressant action, which is relevant as depression is often comorbid with GAD. One study also suggests that buspirone may be more effective when combined with mindfulness-based cognitive therapy (MBCT), although further prospective trials are warranted for this combination. Evidence for buspirone's efficacy in panic disorder is unclear and suggests lower acceptability compared to placebo.",
6,Acceptance and Commitment Therapy,ACT is an effective treatment for generalized anxiety disorder.,second-line,Supported,Supported with caveat,42112706; 41086425; 33560232; 34542399; 23647281; 31944806; 33852722,"The evidence suggests that Acceptance and Commitment Therapy (ACT) has preliminary support as an efficacious treatment for adults with Generalized Anxiety Disorder (GAD). Several studies indicate reductions in anxiety symptoms and improvements in psychological flexibility. However, one review noted significant variability in study design and methodological rigor. Furthermore, some studies focused on specific populations, such as older adults with treatment-resistant GAD, or digital therapeutic adaptations of ACT, rather than ACT as a standalone treatment for the general GAD population. One randomized controlled trial found ACT to be comparable to applied relaxation for GAD, rather than superior. One study specifically examined a two-session ACT protocol for depression and GAD, which is a limited scope compared to the general claim.",
3,SSRI,Escitalopram is effective for reducing symptoms of anxiety.,well-supported,Supported,Supported with caveat,31473564; 30712879; 32002937; 33424664; 41356682; 41692055,"Escitalopram has demonstrated efficacy in reducing symptoms of generalized anxiety disorder (GAD), as evidenced by network meta-analyses comparing it to placebo and other first-line drugs. It is recommended as a first-line treatment for GAD. However, one study noted that its efficacy might be influenced by genetic polymorphisms and oxytocin signaling, with potential sex-specific effects, suggesting personalized treatment approaches may be beneficial. Another study indicated that while perceived stress at four weeks can predict treatment outcomes for both anxiety and depression with escitalopram monotherapy, this finding requires replication.",
13,Electroconvulsive Therapy,Electroconvulsive therapy is more effective than other treatments for severe depression.,well-supported,Supported with caveat,Supported,42339150; 41988667; 41323432; 42389389,"Electroconvulsive therapy (ECT) is identified as the most effective treatment for severe and treatment-resistant depression. The evidence also describes ECT as the ""gold standard treatment"" for treatment-resistant depression. Furthermore, a systematic review and meta-analysis found ECT to significantly reduce the odds of suicide and all-cause mortality in refractory depression, demonstrating a moderate effect size for reducing suicidal ideation while repetitive transcranial magnetic stimulation (rTMS) showed no significant effect on this outcome. While some studies comparing ECT to magnetic seizure therapy (MST) found comparable overall response and remission rates, one sensitivity analysis slightly favored ECT for depression score changes. Another review noted that ECT might be associated with longer remission than ketamine for treatment-resistant depression, although direct comparative studies were lacking for this specific outcome.",
14,Transcranial Magnetic Stimulation,rTMS is effective for treatment-resistant major depressive disorder.,supported-conditional,Supported with caveat,Supported,42341943; 42383744; 42261501; 42340706; 42164210; 40131590,"Multiple sources of evidence, including systematic reviews and randomized controlled trials, support the efficacy of repetitive transcranial magnetic stimulation (rTMS) for treatment-resistant major depressive disorder (TRD). Specifically, one abstract states directly that ""Repetitive transcranial magnetic stimulation (rTMS) is effective for TRD"" (PMID: 42341943). Another systematic review and network meta-analysis found that in the TRD subgroup, theta burst stimulation (TBS), a form of rTMS, demonstrated significantly superior efficacy to sham stimulation for both response and remission (PMID: 42383744). Additionally, rTMS is recognized as a treatment option for MDD patients who have not adequately responded to antidepressant therapy, which defines TRD (PMID: 42261501, PMID: 42164210, PMID: 40131590). A randomized clinical trial also found that individualized, connectivity-based targeting of accelerated transcranial magnetic stimulation (aTMS), a type of rTMS, enhanced antidepressant effects in participants with treatment-resistant depression (PMID: 42340706).",
15,Esketamine,Spravato is effective for treatment-resistant major depressive disorder.,supported-conditional,Supported with caveat,Supported,41923438; 39435126; 42164210; 40131590; 42127940; 41765199; 42377806; 41968732,"Esketamine (Spravato) nasal spray is effective for treatment-resistant major depressive disorder (TRD). Evidence indicates that it has been approved as an antidepressant, with some sources stating its approval as the first and only monotherapy for adults with TRD. Other studies highlight its efficacy when administered as an adjunct to antidepressant pharmacotherapy, such as selective serotonin or serotonin norepinephrine reuptake inhibitors (SSRI/SNRI), demonstrating significant long-term clinical and functional benefits for patients with TRD. While it was initially approved as an adjunct, more recent approvals in specific regions (e.g., United States as of January 2025) also include its use as monotherapy for TRD. Studies and reviews consistently report rapid onset of action and clinically meaningful improvements in depressive symptoms.",
21,SSRI vs SNRI,Sertraline and venlafaxine are similarly effective for treating major depressive disorder.,comparative,Supported,Contradicted,37849303,"Evidence suggests that sertraline and venlafaxine are not similarly effective for treating major depressive disorder, at least in older adults. A nationwide cohort study comparing commonly used antidepressants in older adults found that venlafaxine users had a significantly higher risk of discontinuation, switching, augmentation, cardiovascular events, and mortality compared to sertraline users. Overall, venlafaxine users had more adverse outcomes than sertraline users in this population, indicating sertraline had better clinical outcomes than venlafaxine.",
25,Acupuncture,Acupuncture is an effective treatment for major depressive disorder.,out-of-corpus,Insufficient evidence,Supported with caveat,21673208; 34521233; 28700248; 31383703,"Acupuncture has demonstrated limited efficacy in the treatment of major depressive disorder, with some evidence suggesting it may be ineffective. However, other reviews indicate that acupuncture, alongside other non-medication based therapies, has evidence in the treatment of depression, potentially as an add-on adjunct. The overall quality of evidence for acupuncture in treating depression is often described as low or insufficient due to methodological limitations in studies.",
27,Atypical Antidepressants,Bupropion is an effective treatment for major depressive disorder.,second-line,Supported,Supported with caveat,8428898; 38856993; 42284801; 26857948; 21609510,"Bupropion has demonstrated efficacy compared to placebo in the treatment of major depressive disorder. However, one abstract suggests bupropion has a lack of efficacy in treating anxiety, which is a common comorbidity in MDD. Another abstract indicates that bupropion may be less effective for male sexual dysfunction compared to females when used as an adjunct to rTMS. Additionally, the evidence for bupropion's effectiveness as a standalone treatment is not as robustly presented as its effectiveness in combination therapies or as a part of broader treatment guidelines, which include other classes of antidepressants as first-line options. One meta-analysis included bupropion alongside other atypical antidepressants and imipramine, finding all to be effective compared to placebo without statistically significant differences between them. Another review lists 21 antidepressant medications, including bupropion, as having small- to medium-sized effects over placebo.",
29,CBT-I,Cognitive behavioral therapy for insomnia improves depression symptoms in patients with major depressive disorder.,second-line,Supported,Supported with caveat,39242039; 29898793; 27788313; 38286128; 29455893; 28199710; 37839317,"Multiple studies indicate that Cognitive Behavioral Therapy for Insomnia (CBT-I) is effective in improving depressive symptoms in individuals with Major Depressive Disorder (MDD) and comorbid insomnia. Specifically, CBT-I has shown significant effects on depressive symptoms beyond the sleep domain [39242039, 29898793]. Some evidence suggests that improvement in depressive symptoms is mediated by improved sleep [29898793, 27788313]. However, it is noted that CBT-I may not be more effective than other treatments for depression when used in combination with other depression treatments [38286128], and its treatment effects may not be additive with those of antidepressant medications [29455893]. Furthermore, while CBT-I shows promise as a standalone treatment for depression in some cases, particularly when antidepressant medications are not ideal [29455893], the evidence also suggests that all groups, including those receiving only antidepressant medication with a sleep hygiene control, showed improvement in depression symptoms [28199710]. Some research suggests that treatment-resistant depression can predict reduced insomnia severity with CBT-I [37839317].",
34,Cognitive Behavioral Therapy,Does therapy that focuses on changing negative though patterns actually help with anxiety?,well-supported,Supported,Supported with caveat,32231614; 40541378; 41734675; 19235600; 31944806; 22506794,"The evidence suggests that therapies focusing on changing negative thought patterns, such as cognitive behavioral therapy (CBT) and acceptance and commitment therapy (ACT), can be effective in reducing anxiety symptoms. Specifically, RNT-focused ACT protocols have shown promise in treating comorbid generalized anxiety disorder (GAD) and depression, with significant improvements noted in emotional symptoms and pathological worry [32231614, 31944806]. Internet-delivered RNT-focused CBT has also demonstrated significant reductions in anxiety and depression in adults with elevated RNT and anxiety/depression diagnoses [40541378]. A digital depression treatment (CBT-txt) was found to be efficacious in reducing anxiety symptoms by increasing behavioral activation and reducing perseverative thinking [41734675]. CBT has also been shown to have a bidirectional relationship with somatic anxiety, suggesting it targets core mechanisms of GAD [19235600, 22506794]. However, the evidence primarily concerns specific anxiety disorders like GAD, or when anxiety is comorbid with depression, rather than anxiety in general. Furthermore, some studies highlight the importance of targeting specific mechanisms like repetitive negative thinking (RNT) within these therapies [32231614, 40541378, 31944806].",
