id,condition,treatment,claim,phrasing_type,expected_verdict,acceptable_verdicts,notes
1,GAD,Cognitive Behavioral Therapy,Cognitive behavioral therapy is an effective treatment for generalized anxiety disorder.,exact-term,Supported,,First-line per NCBI/NICE sources; baseline control claim using exact search term
2,GAD,Applied Relaxation,A relaxation-based technique that teaches patients to systematically relax muscle groups is effective for generalized anxiety disorder.,semantic,Supported with caveat,,Describes applied relaxation without naming it - tests semantic matching on a technique description rather than the term itself
3,GAD,SSRI,Escitalopram is effective for reducing symptoms of anxiety.,semantic,Supported with caveat,,"Uses specific drug name instead of drug class (SSRI), and anxiety instead of generalized anxiety disorder - tests whether retrieval connects drug name to class-level evidence and condition genericization, since the studies are for GAD, ""Supported with caveat"" is the optimal verdict."
4,GAD,Benzodiazepine,Diazepam is an effective treatment for generalized anxiety disorder.,semantic,Supported with caveat,,"Uses specific drug name instead of benzodiazepine; short-term qualifier removed - tests both semantic matching and nuance surfacing, studies state it is for short-term use, hence the caveat."
5,GAD,Buspirone,Buspirone is an effective treatment for generalized anxiety disorder.,exact-term,Supported,,Exact term control claim.
6,GAD,Acceptance and Commitment Therapy,ACT is an effective treatment for generalized anxiety disorder.,semantic,Supported with caveat,,"Uses common acronym instead of full term - tests acronym-to-full-term matching, some studies show it is not effective in older adults."
7,GAD,Exercise,Physical activity is an effective standalone treatment for generalized anxiety disorder.,semantic,Insufficient evidence,Supported with caveat,Uses physical activity instead of exercise - tests synonym matching on a term already flagged as having noisy corpus coverage - only one study was surfaced and it produced non statistically significant results. 41962666. Insufficient evidence and Supported with caveat are both valid verdicts due to no direct study for physical activity as a standalone treatment for GAD but there are multiple studies finding that physical activity reduces GAD.
8,GAD,Mindfulness-Based Intervention,Mindfulness is an effective treatment for generalized anxiety disorder.,semantic,Supported with caveat,,"Deliberately uses mindfulness rather than the exact ingestion search term mindfulness-based intervention - tests semantic retrieval over exact keyword overlap - manually research of studies in ncbi indicate mindfulness based stress reduction was effective in reducing general anxiety disorder. The artifacts retrieved points to real caveats such as, one artifact finding that MBCT is not superior to an active control and another noting it is best using in conjunction with other treatments"
9,GAD,Benzodiazepine,Diazepam is a safe long-term treatment for generalized anxiety disorder in patients with a history of substance abuse.,semantic,Contradicted,,Uses specific drug name; source explicitly warns against this population
10,GAD,SSRI,Lexapro cures generalized anxiety disorder.,semantic,Insufficient evidence,Supported with caveat,"Uses brand name (Lexapro = escitalopram) instead of drug class - tests brand-name matching plus overclaim detection, Insufficient evidence makes sense in this case as there is not a study that directly contradicts Lexapro's ability to ""cure"" GAD. Supported with caveat is an acceptable verdict as there are studies that validate the efficacy of lexapro as long as the caveat states that the term cures is too strong. Insufficent evidences would be the optimal response as there isnt evidence that Lexapro can 'cure' GAD."
11,MDD,Cognitive Behavioral Therapy,Cognitive behavioral therapy is an effective treatment for major depressive disorder.,exact-term,Supported,,Baseline control claim using exact search term
12,MDD,SSRI,Fluoxetine is effective for reducing symptoms of major depressive disorder.,semantic,Supported,,Uses specific drug name instead of drug class
13,MDD,Electroconvulsive Therapy,Electroconvulsive therapy is more effective than other treatments for severe depression.,semantic,Supported with caveat,,"Genericized condition (depression vs major depressive disorder); ncbi states it is the most effective treatment for MDD. Legitimate caveat. The claim itself is comparative (""more effective than other treatments""), and the evidence shows MST is comparable/potentially superior on some measures. Since the claim's own wording invites comparison, this isn't tangential — it's directly testing the claim as stated. Correctly caveated."
14,MDD,Transcranial Magnetic Stimulation,rTMS is effective for treatment-resistant major depressive disorder.,semantic,Supported with caveat,,Uses rTMS acronym instead of full transcranial magnetic stimulation term - tests acronym plus precondition surfacing. Caveat is optimal due to artifacts mentioning response rates vary and results are inconsistant.
15,MDD,Esketamine,Spravato is effective for major depressive disorder.,semantic,Supported with caveat,,Uses brand name Spravato for esketamine - tests brand-to-generic - used to be strictly used in conjuction wiht other medicaitons but recently it is a supported standalone treatment.- used to treat treatment resistant depression (hence the caveat)
16,MDD,Interpersonal Therapy,Interpersonal therapy is an effective treatment for major depressive disorder.,exact-term,Supported,,Exact term control claim
17,MDD,Antipsychotics,Antipsychotics are an effective standalone treatment for major depressive disorder.,semantic,Insufficient evidence,Supported with caveat,"Uses specific antipsychotic drug name instead of drug class - tests standalone framing with a named drug. All evidence is adjunctive/augmentation-only; nothing evaluates standalone use at all. Per rule 9, ""no evidence addressing the specific claim"" is textbook ""Insufficient evidence,"" however due to artifacts stating the antipsycotics can be effective when used with other treatments supported with caveat is acceptable as long as the caveat states that it is an adjuntive treatment."
18,MDD,Antipsychotics,Aripiprazole can enhance antidepressant treatment for major depressive disorder.,semantic,Supported with caveat,,"Same drug name as claim 17, adjunct framing instead - tests whether system distinguishes standalone vs adjunct for the same specific drug. Due to the artifacts noting that it is used specifically for treatment resistant depression the claim is accurately caveated."
19,MDD,Mindfulness-Based Intervention,Mindfulness is effective as a standalone treatment for major depressive disorder.,semantic,Supported with caveat,,"Uses mindfulness rather than exact ingestion term, consistent with claim 8 - tests semantic retrieval - ncbi states mindfulness is effective for treating MDD example: https://pmc.ncbi.nlm.nih.gov/articles/PMC10743934/"
20,MDD,St John's Wort,St John's Wort is a safe and effective treatment for major depressive disorder.,exact-term,Supported with caveat,,Common name already natural phrasing; GAD source flagged real interaction and safety risks with SSRIs - per 27589952 it is to be supported with caution.
21,MDD,SSRI vs SNRI,Sertraline and venlafaxine are similarly effective for treating major depressive disorder.,semantic,Insufficient evidence,,Uses specific drug names instead of class names - tests whether system connects both drugs to their respective classes and compares correctly. there isnt a study that directly compares the two medications. Insufficent evidence 
22,MDD,Tricyclic Antidepressants,Amitriptyline is safe and effective for major depressive disorder.,semantic,TBD - test against corpus,,Uses specific TCA drug name instead of class name; tests safety versus efficacy distinction with a named drug
23,MDD,Light Therapy,Bright light therapy is equally effective as ECT for severe treatment-resistant depression.,semantic,Insufficient evidence,,Uses common variant phrasing plus ECT acronym; tests false-equivalence detection
24,MDD,Vagus Nerve Stimulation,VNS is a first-line treatment for major depressive disorder.,semantic,Contradicted,Insufficient evidence,"Uses acronym; source states this is for treatment-resistant cases only, not first-line. the evidence says that it is a second-line treatment for MDD Since the claim is purely about VNS being a first-line treatment and not the efficacy of VNS in treating depression, the accurate verdict here is contradicted. Since one study notes that there is potential future use for first-line insufficient evidence is acceptable."
25,MDD,Acupuncture,Acupuncture is an effective treatment for major depressive disorder.,exact-term,Insufficient evidence,,No acupuncture search term in corpus - tests hallucination resistance
26,MDD,MAOI,Phenelzine is an effective treatment for major depressive disorder.,semantic,Supported with caveat,,Uses specific MAOI drug name instead of class name; source notes MAOIs are less commonly used due to side-effect and lethality profile - tests whether this caveat surfaces
27,MDD,Atypical Antidepressants,Bupropion is an effective treatment for major depressive disorder.,semantic,Supported,Supported with caveat,Uses specific drug name instead of atypical antidepressants class term - Supported with caveat is valid due to 38856993 noting antidepressants having medium to low efficacy.
28,MDD,Serotonin Modulators,Trazodone is an effective treatment for major depressive disorder.,semantic,Supported with caveat,Supported,"Uses specific drug name instead of serotonin modulators class term. After evaluating the retrieved artifacts, 2 are specfically studiing the efficacy for elderly individuals, 1 is for adults (non-elderly specfically) and 2 do not mention trazadone specfically (one for the effects of sleep against depression and one for the efficacy of SSRIs in treating depression (Trazadone is in the SSRI class). 2 of the 3 studies specfically testing trazodone are specifcally for the elderly population, however, supported is an acceptable verdict due to one artifact concluding that Trazodone is effecitive when specifically studying non-elderly adults."
29,MDD,CBT-I,Cognitive behavioral therapy for insomnia improves depression symptoms in patients with major depressive disorder.,semantic,Supported with caveat,,Spells out CBT-I in full rather than using the acronym search term - tests full-term-to-acronym matching in reverse direction - Caveat is due to the dropout rate
30,MDD,Sleep Deprivation Therapy,Deliberately staying awake overnight can increase depression symptoms.,semantic,Contradicted,Insufficient evidence,"Sleep deprivation therapy was noted to decrease depression symptoms with some caveats. Phrased in plain language without naming sleep deprivation therapy. Insufficient evidence valid due to none of the abstracts studying the effects of staying awake overnight. Contradicted supported due to all the evidence for sleep deprevation decreasing depression symptoms."
31,MDD,SSRI,Fluoxitine is effective for reducing symptoms of major depressive disorder.,misspelling,Supported,,"Deliberate misspelling of fluoxetine - tests whether embedding-based retrieval is robust to typos, unlike exact-keyword search which would likely fail here"
32,GAD,Chemotherapy,Chemotherapy is effective treatment for generalized anxiety disorder.,exact-term,Insufficient evidence,,"Real, specific treatment wit hno legitimate connection to GAD. Tests whether the system correctly finds no support rather than inventing a connection from accidental corpus noise."
33,MDD,Insulin,Insulin is an effective treatment for major depressive disorder.,exact-term,Insufficient evidence,,"Real, specific treatment with no legitimate conneciton to MDD. (diabetes-depression comorbidity research exists, but insulin itself treating depression does not) tests the same failure as claim 32."
34,GAD,Cognitive Behavioral Therapy,Does therapy that focuses on changing negative though patterns actually help with anxiety?,conversational,Supported,,"Describes CBT in less formal phrasing rather than naming it, phrased as a casual question. Tests sematic matching with natural phrasing - source states it specifically helps with GAD but the user doesnt specifiy the type of aniexty so a caveat should be noted. After further review, supported is approriate in this case due to abstract 40541378 where it states that this claim is effective for SAD, GAD. panic disorders etc, not limited to GAD. "
35,MDD,SSRI,"I have heard that antidepressants like Zoloft can help with depression, is that true?",conversational,Supported,,Uses brand name (Zoloft which is sertraline) in a casual question rather than a declarative claim
36,GAD,Exercise,Can working out help calm anxiety down?,conversational,Supported with caveat,,"Casual phrasing of the excerise search term, framed as a question, same corpus noise concern as claims 7/8, now tested with natural phrasing"
37,MDD,Mindfulness-Based Intervention,Does meditation help with depression?,conversational,Supported with caveat,,"Uses meditation as a loose synonym for mindfulness-based intervention, phrased as a casual question. Due to many artifacts stating that more research is needed, the caveat is valid."
38,GAD,Benzodiazepine,Are anti-anxiety pills like Valium safe to take every day long-term?,conversational,Contradicted,,Uses brand name (Valium = diazepam) in a genuine question form rather than a false assertion; tests whether the system surfaces the short-term-use. The use of valium long-term is not recommended therefore contradicted is the best verdict for this claim.
