id,condition,treatment,claim,phrasing_type,category,expected_verdict,notes
1,GAD,Cognitive Behavioral Therapy,Cognitive behavioral therapy is an effective treatment for generalized anxiety disorder.,exact-term,well-supported,Supported,First-line per NCBI/NICE sources; baseline control claim using exact search term
2,GAD,Applied Relaxation,A relaxation-based technique that teaches patients to systematically relax muscle groups is effective for generalized anxiety disorder.,semantic,well-supported,Supported,Describes applied relaxation without naming it - tests semantic matching on a technique description rather than the term itself
3,GAD,SSRI,Escitalopram is effective for reducing symptoms of anxiety.,semantic,well-supported,Supported,"Uses specific drug name instead of drug class (SSRI), and anxiety instead of generalized anxiety disorder - tests whether retrieval connects drug name to class-level evidence and condition genericization"
4,GAD,Benzodiazepine,Diazepam is an effective treatment for generalized anxiety disorder.,semantic,omitted-caveat,Supported with caveat,Uses specific drug name instead of benzodiazepine; short-term qualifier removed - tests both semantic matching and nuance surfacing
5,GAD,Buspirone,Buspirone is an effective treatment for generalized anxiety disorder.,exact-term,second-line,Supported,Exact term control claim; drug name has no common synonym to test
6,GAD,Acceptance and Commitment Therapy,ACT is an effective treatment for generalized anxiety disorder.,semantic,second-line,Supported,Uses common acronym instead of full term - tests acronym-to-full-term matching
7,GAD,Exercise,Physical activity is an effective standalone treatment for generalized anxiety disorder.,semantic,contested,TBD - test against corpus,Uses physical activity instead of exercise - tests synonym matching on a term already flagged as having noisy corpus coverage
8,GAD,Mindfulness-Based Intervention,Mindfulness is as effective as CBT for generalized anxiety disorder.,semantic,contested,TBD - test against corpus,Deliberately uses mindfulness rather than the exact ingestion search term mindfulness-based intervention - tests semantic retrieval over exact keyword overlap
9,GAD,Benzodiazepine,Diazepam is a safe long-term treatment for generalized anxiety disorder in patients with a history of substance abuse.,semantic,overstated,Contradicted,Uses specific drug name; source explicitly warns against this population
10,GAD,SSRI,Lexapro cures generalized anxiety disorder.,semantic,overstated,Contradicted,Uses brand name (Lexapro = escitalopram) instead of drug class - tests brand-name matching plus overclaim detection
11,MDD,Cognitive Behavioral Therapy,Cognitive behavioral therapy is an effective treatment for major depressive disorder.,exact-term,well-supported,Supported,Baseline control claim using exact search term
12,MDD,SSRI,Fluoxetine is effective for reducing symptoms of major depressive disorder.,semantic,well-supported,Supported,Uses specific drug name instead of drug class
13,MDD,Electroconvulsive Therapy,Electroconvulsive therapy is more effective than other treatments for severe depression.,semantic,well-supported,Supported with caveat,Genericized condition (depression vs major depressive disorder); source specifies severe MDD specifically - tests condition genericization plus scope surfacing
14,MDD,Transcranial Magnetic Stimulation,rTMS is effective for treatment-resistant major depressive disorder.,semantic,supported-conditional,Supported with caveat,Uses rTMS acronym instead of full transcranial magnetic stimulation term - tests acronym plus precondition surfacing
15,MDD,Esketamine,Spravato is effective for treatment-resistant major depressive disorder.,semantic,supported-conditional,Supported with caveat,Uses brand name Spravato for esketamine - tests brand-to-generic matching plus combination-requirement surfacing
16,MDD,Interpersonal Therapy,Interpersonal therapy is an effective treatment for major depressive disorder.,exact-term,supported-conditional,Supported,Exact term control claim
17,MDD,Antipsychotics,Antipsychotics are an effective standalone treatment for major depressive disorder.,semantic,adjunct-vs-standalone,Contradicted,Uses specific antipsychotic drug name instead of drug class - tests standalone framing with a named drug
18,MDD,Antipsychotics,Aripiprazole can enhance antidepressant treatment for major depressive disorder.,semantic,adjunct-vs-standalone,Supported,"Same drug name as claim 17, adjunct framing instead - tests whether system distinguishes standalone vs adjunct for the same specific drug"
19,MDD,Mindfulness-Based Intervention,Mindfulness is effective as a standalone treatment for major depressive disorder.,semantic,contested,TBD - test against corpus,"Uses mindfulness rather than exact ingestion term, consistent with claim 8 - tests semantic retrieval"
20,MDD,St John's Wort,St John's Wort is a safe and effective treatment for major depressive disorder.,exact-term,contested,TBD - test against corpus,Common name already natural phrasing; GAD source flagged real interaction and safety risks with SSRIs
21,MDD,SSRI vs SNRI,Sertraline and venlafaxine are similarly effective for treating major depressive disorder.,semantic,comparative,Supported,Uses specific drug names instead of class names - tests whether system connects both drugs to their respective classes and compares correctly
22,MDD,Tricyclic Antidepressants,Amitriptyline is less safe but similarly effective to SSRIs for major depressive disorder.,semantic,comparative,Supported with caveat,Uses specific TCA drug name instead of class name; tests safety versus efficacy distinction with a named drug
23,MDD,Light Therapy,Bright light therapy is equally effective as ECT for severe treatment-resistant depression.,semantic,overstated,Insufficient evidence,Uses common variant phrasing plus ECT acronym; tests false-equivalence detection
24,MDD,Vagus Nerve Stimulation,VNS is a first-line treatment for major depressive disorder.,semantic,overstated,Supported with caveat,"Uses acronym; source states this is for treatment-resistant cases only, not first-line"
25,MDD,Acupuncture,Acupuncture is an effective treatment for major depressive disorder.,exact-term,out-of-corpus,Insufficient evidence,No acupuncture search term in corpus - tests hallucination resistance
26,MDD,MAOI,Phenelzine is an effective treatment for major depressive disorder.,semantic,second-line,Supported with caveat,Uses specific MAOI drug name instead of class name; source notes MAOIs are less commonly used due to side-effect and lethality profile - tests whether this caveat surfaces
27,MDD,Atypical Antidepressants,Bupropion is an effective treatment for major depressive disorder.,semantic,second-line,Supported,Uses specific drug name instead of atypical antidepressants class term - previously untested search term
28,MDD,Serotonin Modulators,Trazodone is an effective treatment for major depressive disorder.,semantic,second-line,Supported,Uses specific drug name instead of serotonin modulators class term - previously untested search term
29,MDD,CBT-I,Cognitive behavioral therapy for insomnia improves depression symptoms in patients with major depressive disorder.,semantic,second-line,Supported,Spells out CBT-I in full rather than using the acronym search term - previously untested search term; tests full-term-to-acronym matching in reverse direction
30,MDD,Sleep Deprivation Therapy,"Deliberately staying awake overnight can produce rapid, short-term improvement in depression symptoms.",semantic,contested,TBD - test against corpus,Describes sleep deprivation therapy in plain language without naming it - tests strong semantic matching on a described mechanism rather than a term; previously untested search term
