id,condition,treatment,claim,phrasing_type,category,expected_verdict,actual_verdict,actual_explanation,actual_citations,actual_confidence,match,hallucinated_citations,notes
1,GAD,Cognitive Behavioral Therapy,Cognitive behavioral therapy is an effective treatment for generalized anxiety disorder.,exact-term,well-supported,Supported,Supported,"Multiple meta-analyses and randomized controlled trials indicate that cognitive behavioral therapy (CBT) is an effective treatment for generalized anxiety disorder (GAD) in adults. Studies show significant improvements in GAD symptoms, depression, and overall functioning, with effects maintained at long-term follow-up. CBT has also demonstrated efficacy in internet-delivered formats, increasing accessibility. While other therapies like applied relaxation are also effective, CBT is frequently shown to be superior or at least equivalent, with some evidence suggesting it leads to continued improvement over time.",24487344; 37900518; 12732372; 11952187; 8370856; 12625796; 21770848; 20171327,High,True,,First-line per NCBI/NICE sources; baseline control claim using exact search term
2,GAD,Applied Relaxation,A relaxation-based technique that teaches patients to systematically relax muscle groups is effective for generalized anxiety disorder.,semantic,well-supported,Supported,Supported with caveat,"The evidence indicates that Applied Relaxation (AR), a technique involving learning relaxation skills and applying them at the first sign of anxiety, is an efficacious treatment for Generalized Anxiety Disorder (GAD). Multiple studies show AR leads to significant symptom reductions, comparable to other established treatments like Cognitive Behavioral Therapy (CBT). However, the evidence also suggests that the mechanisms of action are not fully understood, with some studies finding that change in worry may not be as strongly accounted for by AR as by CBT, and that clinical effects might be moderate and not solely attributable to reduced muscle tension or autonomic activation. Additionally, some studies noted a moderate dropout rate and occasional relapses.",18221441; 22506794; 23731329; 19218829; 23888107; 10937426; 35311299,High,False,,Describes applied relaxation without naming it - tests semantic matching on a technique description rather than the term itself
5,GAD,Buspirone,Buspirone is an effective treatment for generalized anxiety disorder.,exact-term,second-line,Supported,Supported with caveat,"Buspirone is recognized as a treatment option for generalized anxiety disorder (GAD), with some sources indicating it as a second-line pharmacotherapy after SSRIs and SNRIs in adults. However, it is noted that buspirone has negligible antidepressant action, which is relevant as depression is often comorbid with GAD. One study also suggests that buspirone may be more effective when combined with mindfulness-based cognitive therapy (MBCT), although further prospective trials are warranted for this combination. Evidence for buspirone's efficacy in panic disorder is unclear and suggests lower acceptability compared to placebo.",26288293; 30056792; 21950420; 25389538; 12625796; 41562592; 25268297,High,False,,Exact term control claim; drug name has no common synonym to test
6,GAD,Acceptance and Commitment Therapy,ACT is an effective treatment for generalized anxiety disorder.,semantic,second-line,Supported,Supported with caveat,"The evidence suggests that Acceptance and Commitment Therapy (ACT) has preliminary support as an efficacious treatment for adults with Generalized Anxiety Disorder (GAD). Several studies indicate reductions in anxiety symptoms and improvements in psychological flexibility. However, one review noted significant variability in study design and methodological rigor. Furthermore, some studies focused on specific populations, such as older adults with treatment-resistant GAD, or digital therapeutic adaptations of ACT, rather than ACT as a standalone treatment for the general GAD population. One randomized controlled trial found ACT to be comparable to applied relaxation for GAD, rather than superior. One study specifically examined a two-session ACT protocol for depression and GAD, which is a limited scope compared to the general claim.",42112706; 41086425; 33560232; 34542399; 23647281; 31944806; 33852722,High,False,,Uses common acronym instead of full term - tests acronym-to-full-term matching
3,GAD,SSRI,Escitalopram is effective for reducing symptoms of anxiety.,semantic,well-supported,Supported,Supported with caveat,"Escitalopram has demonstrated efficacy in reducing symptoms of generalized anxiety disorder (GAD), as evidenced by network meta-analyses comparing it to placebo and other first-line drugs. It is recommended as a first-line treatment for GAD. However, one study noted that its efficacy might be influenced by genetic polymorphisms and oxytocin signaling, with potential sex-specific effects, suggesting personalized treatment approaches may be beneficial. Another study indicated that while perceived stress at four weeks can predict treatment outcomes for both anxiety and depression with escitalopram monotherapy, this finding requires replication.",31473564; 30712879; 32002937; 33424664; 41356682; 41692055,High,False,,"Uses specific drug name instead of drug class (SSRI), and anxiety instead of generalized anxiety disorder - tests whether retrieval connects drug name to class-level evidence and condition genericization"
4,GAD,Benzodiazepine,Diazepam is an effective treatment for generalized anxiety disorder.,semantic,omitted-caveat,Supported with caveat,Supported with caveat,"Diazepam, as a benzodiazepine, has been shown to be an effective treatment for generalized anxiety disorder (GAD), particularly for short-term use and for reducing somatic symptoms. One randomized controlled pilot study found that diazepam significantly improved symptoms on the Hamilton Anxiety Rating Scale compared to placebo in outpatients with GAD (PMID 38276013). Other evidence indicates that benzodiazepines are effective anxiolytics for GAD (PMID 12625796, PMID 15853570, PMID 30712879, PMID 38564872).

However, the effectiveness comes with several significant caveats. Benzodiazepines are generally considered appropriate for short-term treatment due to their adverse side-effect profile (PMID 12625796, PMID 15853570) and can be poorly tolerated compared with placebo (PMID 30712879). They also demonstrate negligible antidepressant action, which is a disadvantage given the common comorbidity of GAD and depression (PMID 12625796). While benzodiazepines may be more effective than antidepressants for reducing somatic symptoms of GAD, this finding needs to be weighed against other potential benefits of antidepressants (PMID 38564872). Current treatment recommendations often favor selective serotonin reuptake inhibitors (SSRIs) or serotonin-norepinephrine reuptake inhibitors (SNRIs) as first-line options due to their clear efficacy and good tolerability for long-term management (PMID 21950420).",12625796; 15853570; 21950420; 30712879; 38276013; 38564872,High,True,,Uses specific drug name instead of benzodiazepine; short-term qualifier removed - tests both semantic matching and nuance surfacing
7,GAD,Exercise,Physical activity is an effective standalone treatment for generalized anxiety disorder.,semantic,contested,TBD - test against corpus,Contradicted,"The evidence does not support the claim that physical activity is an effective standalone treatment for generalized anxiety disorder. One study directly investigating the effect of meeting physical activity recommendations on generalized anxiety symptoms in young adults found that it resulted in a change in GAD-7 scores very close to zero with wide confidence intervals, indicating no statistically significant effect. Other studies discussed associations between physical activity and lower anxiety levels or acute effects in specific populations (e.g., people with multiple sclerosis) but did not establish physical activity as an effective standalone treatment for generalized anxiety disorder in a general sense.",41962666,High,N/A - TBD expected,,Uses physical activity instead of exercise - tests synonym matching on a term already flagged as having noisy corpus coverage
8,GAD,Mindfulness-Based Intervention,Mindfulness is as effective as CBT for generalized anxiety disorder.,semantic,contested,TBD - test against corpus,Contradicted,"The provided evidence does not contain a direct comparison of mindfulness as a standalone treatment with Cognitive Behavioral Therapy (CBT) for generalized anxiety disorder (GAD). Furthermore, one randomized controlled trial (PMID 33321509) directly evaluated a mindfulness-based intervention (Body in Mind Training, BMT) for adults with GAD and concluded that it ""cannot be considered an effective mindfulness protocol to improve GAD."" This finding contradicts the foundational premise of the claim, as an intervention deemed ineffective cannot be ""as effective as"" another established treatment like CBT. While other studies mention mindfulness-based interventions, they either evaluate them as an adjunctive therapy (PMID 42109285) or as part of a combined acceptance-based behavior therapy (ABBT) that includes behavioral approaches (PMID 23647281). ABBT was found comparable to applied relaxation (PMID 23647281), and a meta-analysis suggested applied relaxation is comparable to CBT (PMID 35311299), but this is an indirect chain for a combined therapy, not pure mindfulness. No direct evidence supports mindfulness being as effective as CBT for GAD.",33321509,Medium,N/A - TBD expected,,Deliberately uses mindfulness rather than the exact ingestion search term mindfulness-based intervention - tests semantic retrieval over exact keyword overlap
9,GAD,Benzodiazepine,Diazepam is a safe long-term treatment for generalized anxiety disorder in patients with a history of substance abuse.,semantic,overstated,Contradicted,Contradicted,"The evidence indicates that benzodiazepines, including diazepam, are generally appropriate for short-term treatment of generalized anxiety disorder but are considered less than ideal or have many adverse events for long-term use. More importantly, the evidence directly contradicts the safety of benzodiazepines for patients with a history of substance abuse, highlighting a significant potential for abuse and dependence. One abstract specifically states that benzodiazepines might be a good choice only for individuals who do not have a history of substance abuse, thereby implying they are not suitable for those who do.",12625796; 21950420; 37040158; 15853570,High,True,,Uses specific drug name; source explicitly warns against this population
10,GAD,SSRI,Lexapro cures generalized anxiety disorder.,semantic,overstated,Contradicted,Contradicted,"The evidence indicates that escitalopram (Lexapro) is an antidepressant used in the treatment of Generalized Anxiety Disorder (GAD) and is considered a first-line pharmacotherapy (PMID: 19450347, 22030083, 21950420, 25225022, 21309121). However, none of the provided abstracts state that Lexapro ""cures"" GAD. On the contrary, abstracts directly contradict the notion of a cure by stating that ""Less than half of people have full remission after 5 years"" for GAD, implying that a complete and permanent cure is not commonly achieved (PMID: 19450347, 22030083). The evidence consistently refers to the efficacy of treatments in managing symptoms, achieving remission, or providing long-term benefits, but not a cure.",19450347; 22030083; 21950420; 25225022; 21309121,High,True,,Uses brand name (Lexapro = escitalopram) instead of drug class - tests brand-name matching plus overclaim detection
