id,condition,treatment,claim,phrasing_type,expected_verdict,actual_verdict,actual_findings,actual_caveat,actual_clinical_notes,actual_confidence,match,actual_citations,hallucinated_citations,notes
1,GAD,Cognitive Behavioral Therapy,Cognitive behavioral therapy is an effective treatment for generalized anxiety disorder.,exact-term,Supported,Supported,"Cognitive behavioral therapy (CBT) has been shown to be an effective treatment for generalized anxiety disorder (GAD) in adults, with a meta-analysis of 41 studies including 2132 patients finding a large pooled effect size (g=0.84; 95% CI: 0.71-0.97) when comparing psychotherapy to a control group, and most studies examined CBT. [24487344] | Psychological therapy based on CBT principles is effective in reducing anxiety symptoms for short-term treatment of GAD. [37900518] | Both cognitive therapy (CT, a component of CBT) and applied relaxation (AR) were found to be effective treatments for GAD in a study comparing them, with effect sizes ranging from 0.53 to 1.14. While AR tended to perform better at one-month follow-up, CT caught up by six months, with comparable recovery rates between the two. [12732372] | A component analysis of CBT for GAD showed that applied relaxation and self-control desensitization, cognitive therapy, or a combination of these methods all resulted in significant improvement in anxiety and depression that was maintained for 2 years. No outcome differences were found between these conditions. [11952187] | Applied relaxation (AR) and cognitive-behavioral therapy (CBT) were generally equivalent in outcome and superior to a non-directive approach in the treatment of GAD. Follow-up results indicated maintained gains in both AR and CBT, especially CBT, which showed the highest endstate functioning. [8370856] | Psychotherapeutic approaches such as cognitive therapy and cognitive-behavioral therapy have all been shown to be effective when used as monotherapies for GAD. [12625796] | Guided internet-delivered CBT for GAD demonstrated significant improvement compared to a wait-list control group on multiple outcome measures, with large effect sizes. Results were maintained or improved at 1- and 3-year follow-up. [21770848] | In a randomized clinical trial comparing CBT, applied relaxation (AR), and a wait-list control for GAD, CBT was clearly superior to the wait-list control and marginally superior to AR at posttest. Over follow-up, CBT and AR were equivalent, but only CBT led to continued improvement. [20171327]",,"Some studies compared CBT with other treatments like applied relaxation, and found them to be comparable in effectiveness, though CBT may show more sustained improvement over longer follow-up periods. One study suggested that adding interpersonal treatment to CBT might increase effectiveness.",High,True,37900518; 8370856; 11952187; 21770848; 24487344; 12625796; 12732372; 20171327,,First-line per NCBI/NICE sources; baseline control claim using exact search term
2,GAD,Applied Relaxation,A relaxation-based technique that teaches patients to systematically relax muscle groups is effective for generalized anxiety disorder.,semantic,Supported with caveat,Supported with caveat,"Applied Relaxation (AR), a technique that involves noticing early signs of anxiety and responding with a relaxation response, is an empirically supported treatment for Generalized Anxiety Disorder (GAD). [23888107, 10937426, 19218829, 23731329, 35311299] | AR has demonstrated efficacy in reducing GAD symptoms, with studies showing significant symptomatic improvement compared to waitlist controls and comparable efficacy to cognitive-behavioral therapy (CBT) in some instances. [18221441, 19218829, 35311299, 10937426] | While AR is considered efficacious, some studies suggest that the clinical effects may be moderate and that not all patients learn to relax effectively during the therapy or show sustained anxiety reduction. [18221441] | The mechanisms of change for AR are not fully understood and may involve factors beyond muscle tension reduction, potentially including mindfulness, decentering, and acceptance. [23888107, 18221441, 22506794] | AR, along with other relaxation techniques like breathing control, muscular relaxation, meditation, and mental visualization, has shown promise in a pilot study for reducing trait anxiety, depression, and worry in patients with GAD and panic disorder. [25132015]","While AR is shown to be effective for GAD, one study noted that the clinical effects may be moderate at most and cannot be solely attributed to reducing muscle tension or autonomic activation. Another study indicated that not all patients learn to relax effectively in therapy or demonstrate sustained reduction in anxiety, with some dropouts and relapses observed.","The evidence suggests that Applied Relaxation (AR) is a viable treatment for Generalized Anxiety Disorder (GAD). Some research indicates that its efficacy might be comparable to Cognitive Behavioral Therapy (CBT), while others suggest CBT may have a stronger impact on the relationship between worry and somatic anxiety. The exact mechanisms of action for AR are still being explored, with potential roles for mindfulness, decentering, and acceptance in addition to relaxation skills. A pilot study also showed combined relaxation techniques to be effective. One study indicated that AR's effectiveness might be limited to moderate levels, and not all patients achieve lasting benefits or learn relaxation skills effectively within the therapy, with a notable dropout rate in some trials.",High,True,10937426; 35311299; 23888107; 23731329; 19218829; 18221441; 22506794; 25132015,,Describes applied relaxation without naming it - tests semantic matching on a technique description rather than the term itself
3,GAD,SSRI,Escitalopram is effective for reducing symptoms of anxiety.,semantic,Supported with caveat,Supported,"Escitalopram is recommended as a first-line treatment for generalized anxiety disorder (GAD). [32002937, 30712879, 31473564] | In a network meta-analysis comparing first-line drugs for acute GAD treatment, escitalopram showed better efficacy than placebo, with a weighted mean difference in the Hamilton Anxiety Scale score ranging between -3.2 (95% credible interval [CrI] = -4.2 to -2.2). [31473564] | Another systematic review and network meta-analysis found escitalopram to be more efficacious than placebo for GAD, with a mean difference in the Hamilton Anxiety Scale Score of -2.45 (95% credible interval [CrI] -3.27 to -1.63). [30712879] | A systematic review of treatments for GAD included escitalopram among the antidepressants found to be effective. [22030083] | Escitalopram is indicated for the treatment of generalized anxiety disorder (GAD). [36207527, 41625421] | A study investigating escitalopram response in GAD found that anxiety severity was assessed using the Hamilton Anxiety Scale, suggesting its use in evaluating treatment effectiveness. [41356682]",,"The evidence focuses on escitalopram's efficacy for generalized anxiety disorder (GAD). One study mentions escitalopram's indication for major depressive disorder as well. Another study notes that peripheral edema associated with escitalopram is documented in limited literature. One study explored the influence of the OXTR rs2254298 polymorphism on escitalopram response in GAD, noting a sex-specific role. Another study investigated concentrations of escitalopram in blood, particularly in patients with comorbid alcohol or benzodiazepine use disorder, and found that pathological changes in liver function resulted in higher dose-corrected escitalopram concentrations.",High,False,36207527; 41625421; 31473564; 32002937; 22030083; 30712879; 41356682,,"Uses specific drug name instead of drug class (SSRI), and anxiety instead of generalized anxiety disorder - tests whether retrieval connects drug name to class-level evidence and condition genericization, since the studies are for GAD, ""Supported with caveat"" is the optimal verdict."
4,GAD,Benzodiazepine,Diazepam is an effective treatment for generalized anxiety disorder.,semantic,Supported with caveat,Supported with caveat,"Benzodiazepines, as a class, have been used to treat anxiety and are effective anxiolytics for short-term use in generalized anxiety disorder (GAD). [12625796, 15853570, 21950420, 38564872] | Diazepam, specifically, was found to have significantly higher mean improvement on the Hamilton Anxiety Rating Scale compared to placebo in a 2-week pilot study of outpatients with GAD. [38276013] | However, benzodiazepines are generally not ideal for long-term treatment of GAD due to their adverse side-effect profile and potential for withdrawal symptoms, and are often associated with poor tolerability when compared to placebo. [12625796, 15853570, 38276013, 30712879] | In a comparative pilot study, diazepam showed similar efficacy to tofisopam but had more frequent adverse effects and withdrawal symptoms. [38276013]","Diazepam is effective for short-term treatment of generalized anxiety disorder but is associated with adverse side effects and withdrawal symptoms, making it less ideal for long-term use compared to other treatments. A recent pilot study showed efficacy comparable to placebo and tofisopam but with higher rates of adverse effects and withdrawal symptoms.","The evidence suggests that while benzodiazepines, including diazepam, can be effective for acute/short-term treatment of GAD, they are not typically recommended as first-line or long-term treatment due to tolerability and withdrawal concerns. Antidepressants (SSRIs and SNRIs) are generally considered first-line for long-term treatment. The evidence also notes that benzodiazepines may be more effective for somatic symptoms of GAD compared to antidepressants.",Medium,True,38276013; 21950420; 15853570; 12625796; 38564872; 30712879,,"Uses specific drug name instead of benzodiazepine; short-term qualifier removed - tests both semantic matching and nuance surfacing, studies state it is for short-term use, hence the caveat."
5,GAD,Buspirone,Buspirone is an effective treatment for generalized anxiety disorder.,exact-term,Supported,Supported with caveat,"Buspirone is identified as a current effective pharmacotherapy for generalized anxiety disorder (GAD). [12625796, 26288293, 26535760] | Buspirone has demonstrated anxiolytic benefits for GAD, although it shows negligible antidepressant action. [12625796] | While efficacy for GAD has been established for several drug classes, SSRIs and SNRIs are considered first-line treatments, with buspirone being a second-line option. [21950420, 30056792] | One study investigated the combination of buspirone with mindfulness-based cognitive therapy (MBCT) and found superior outcomes compared to buspirone alone in patients with GAD, suggesting potential benefits of combination therapy. [41562592] | Evidence for azapirones, including buspirone, in the treatment of panic disorder is unclear, with a small sample size and limited usable efficacy data, and lower acceptability compared to placebo. [25268297]","Buspirone is considered a second-line treatment for GAD, after SSRIs and SNRIs. Its efficacy for panic disorder is unclear and its acceptability may be lower than placebo in that condition.","Buspirone is a nonbenzodiazepine anxiolytic that acts as a partial serotonin 5-HT1A-receptor agonist, D2-autoreceptor antagonist, and low affinity 5-HT2-receptor agonist. It is generally considered to have a better side-effect profile and less potential for addiction or abuse compared to benzodiazepines. Buspirone also shows efficacy for depression, either alone or in combination with an antidepressant, and for treating adverse sexual effects. Studies on buspirone for substance use disorders have had disappointing outcomes. There is potential for buspirone use in managing irritability, agitation, and aggression in older adults with dementia and in pediatric patients, though further studies are warranted.",Medium,False,21950420; 30056792; 41562592; 12625796; 26535760; 25268297; 26288293,,Exact term control claim.
6,GAD,Acceptance and Commitment Therapy,ACT is an effective treatment for generalized anxiety disorder.,semantic,Supported with caveat,Supported with caveat,"Acceptance and Commitment Therapy (ACT) has preliminary support as an efficacious treatment for adults with Generalized Anxiety Disorder (GAD), with reported effect sizes in the medium to large range and significant reductions in symptom severity. [42112706] | An ACT-based digital therapeutic (Anzeilax) demonstrated clinically meaningful efficacy in reducing anxiety symptoms in individuals with GAD when combined with treatment as usual (TAU), with improvements sustained at follow-up. [41086425] | A pilot feasibility study of a digital ACT intervention for GAD showed it to be acceptable and feasible, with participants experiencing reduced anxiety and depression symptoms. [33560232] | An ACT-based intervention adapted for older people with treatment-resistant GAD showed indicative evidence of improvements in symptoms of anxiety, depression, and psychological flexibility, with high feasibility and acceptability. [34542399, 33852722] | A randomized clinical trial comparing an acceptance-based behavior therapy (ABBT) to applied relaxation (AR) for GAD found comparable improvements in anxiety and worry symptoms over time for both treatments, indicating ABBT is a viable alternative. [23647281] | A randomized waitlist control trial evaluating a brief ACT protocol for depression and GAD indicated that the intervention was efficacious in reducing emotional symptoms. [31944806] | A randomized controlled trial protocol is underway to assess the clinical and cost-effectiveness of tailored ACT plus usual care compared to usual care alone for older people with treatment-resistant GAD. [41673579]","Evidence suggests ACT may be effective for generalized anxiety disorder (GAD) in adults, including older adults and those with treatment-resistant GAD. Some studies focus on specific populations (older adults, treatment-resistant GAD) or digital adaptations of ACT. One study found ACT comparable to another established treatment (applied relaxation) rather than superior, and another showed ACT as a viable alternative. Efficacy in a digital format (Anzeilax) was demonstrated when combined with treatment as usual.","One study noted that while depressive symptoms improved in the treatment group using an ACT-based digital therapeutic, the difference between groups did not reach statistical significance. Another study noted that satisfaction with therapy scores in older adults suggested that further refinement of the intervention may be necessary. The evidence includes feasibility and pilot studies, alongside randomized controlled trials.",High,True,31944806; 42112706; 33852722; 41086425; 33560232; 23647281; 41673579; 34542399,,"Uses common acronym instead of full term - tests acronym-to-full-term matching, some studies show it is not effective in older adults."
7,GAD,Exercise,Physical activity is an effective standalone treatment for generalized anxiety disorder.,semantic,Insufficient evidence,Insufficient evidence,"One study examined meeting Canada's 24-hour movement guidelines, which include physical activity (PA), sedentary behavior (SB), and sleep, on generalized anxiety disorder (GAD) symptoms. Meeting the PA recommendation alone did not show a statistically significant change in GAD-7 scores, with wide confidence intervals. Meeting SB recommendations did show a small reduction in GAD-7 scores. [41962666] | A review of systematic reviews indicated that while exercise interventions show consistent support for depressive disorders, the evidence for anxiety disorders is less secure. The primary pooled estimate for anxiety disorders showed no clear benefit over selected controls. [42491100] | A randomized controlled trial comparing resistance exercise training (RET) to a low-intensity sham RET found no significant group by time interaction for depressive symptoms in young women with analogue GAD. While larger within-condition effects indicated greater benefits of RET, the difference between RET and the sham control was unconfirmed. [42435863] | One study found that higher moderate-to-vigorous physical activity (MVPA) relative to other 24-h movement behaviors was associated with significantly lower depressive and anxiety symptoms in middle-aged adults. A reallocation of time from sedentary behavior to MVPA showed favorable associations with lower anxiety symptoms. [42058849] | A randomized controlled study demonstrated that worry exposure (WE), as a standalone treatment, was efficacious in treating GAD, with effects stable at follow-up. Applied relaxation (AR) was also found to be efficacious, and WE and AR did not differ in dropout rates or treatment effects. [19218829] | One study found that a smartphone-based digital therapeutic (Anzeilax), which is ACT-based, significantly improved anxiety symptoms when combined with treatment as usual (TAU). This study did not evaluate physical activity as a standalone treatment. [41086425] | Resistance exercise (RE) was more strongly associated with lower depression and anxiety levels than aerobic exercise (AE) in a large sample of Korean adults. However, this study compared different types of exercise and did not evaluate physical activity as a standalone treatment for GAD in isolation from other interventions. [42046517] | A review of GAD indicates that psychological therapy based on CBT principles is effective for short-term treatment, and various medications are used. It also mentions relaxation methods and stress-relieving adjustments as management strategies outside of therapy. [37900518]",,"Several studies examine physical activity in relation to anxiety or depression, but often in conjunction with other behaviors (e.g., sleep, sedentary time) or as part of a broader intervention. One study directly investigated a standalone exposure therapy (Worry Exposure) for GAD and found it to be efficacious. Other evidence suggests physical activity may be more consistently supported for depressive disorders than anxiety disorders, and that resistance exercise may have stronger associations with lower anxiety than aerobic exercise. Some studies are limited to specific populations (young adults, young women, middle-aged adults, Korean adults) or analogue GAD.",Low,True,37900518; 41962666; 42058849; 41086425; 19218829; 42491100; 42046517; 42435863,,Uses physical activity instead of exercise - tests synonym matching on a term already flagged as having noisy corpus coverage - only one study was surfaced and it produced non statistically significant results. 41962666
8,GAD,Mindfulness-Based Intervention,Mindfulness is an effective treatment for generalized anxiety disorder.,semantic,Supported with caveat,Supported with caveat,"A randomized controlled trial found that an 8-week mindfulness-based intervention (MBI) as an adjunct to pharmacotherapy significantly reduced anxiety severity (Hamilton Anxiety Rating Scale) compared to pharmacotherapy plus structured psychoeducation in adults with Generalized Anxiety Disorder (GAD). The MBI also improved self-reported anxiety, mindfulness skills, sleep quality, cognitive function, and psychosocial well-being. [42109285] | Another randomized controlled trial indicated that while self-compassion and non-judgement of inner experience mediated improvement in GAD symptoms, mindfulness state itself did not. The intervention modality (mindfulness-based intervention vs. fluoxetine) did not moderate these associations. [36447332] | A brief mindfulness ecological momentary intervention (MEMI) for GAD was found to be more effective than a self-monitoring app (SM) control group in reducing GAD severity and trait perseverative cognitions. Reduced reactivity to inner experiences significantly mediated the stronger efficacy of MEMI over SM. [38711385] | Mindfulness-Based Stress Reduction (MBSR) in adults with GAD led to significantly greater reductions in stress markers, specifically adrenocorticotropic hormone (ACTH) and pro-inflammatory cytokines AUC concentrations, compared to an attention control group. [28131433] | A randomized clinical trial comparing a Body in Mind Training (BMT) program for adults with GAD to an active comparison group (Quality of Life and Psychoeducation, QoL) and fluoxetine (FLX) found that BMT was not superior to QoL in reducing anxiety (HAM-A) and was not noninferior to FLX. Furthermore, both QoL and FLX were superior to BMT in reducing worry symptoms (PSWQ). The study concluded that BMT, in its current format, may not be an effective mindfulness protocol for improving GAD. [33321509] | An acceptance-based behavior therapy (ABBT), which includes mindfulness and acceptance strategies, showed comparable improvement in GAD symptoms to applied relaxation (AR), a known empirically supported treatment. ABBT was considered a viable alternative for treating GAD. [23647281] | In an acceptance-based behavior therapy (ABBT) for GAD, increases in mindfulness over treatment were associated with decreases in interpersonal problems, even after accounting for reductions in overall GAD severity. This suggests mindfulness development may help ameliorate interpersonal difficulties in individuals with GAD. [26228536]","One study concluded that mindfulness-based intervention (Body in Mind Training) was not superior to an active comparison group and not noninferior to fluoxetine for GAD, and that the intervention may not be effective in its current format. Another study suggested that while mindfulness-based interventions can be beneficial, specific components like self-compassion and non-judgement of inner experience may be more critical mediators of improvement than mindfulness state itself.","Some studies investigated mindfulness-based interventions as adjunctive treatments to pharmacotherapy or compared them to established treatments like fluoxetine or applied relaxation. Mechanisms of change, such as self-compassion and reduced reactivity to inner experiences, were explored in some trials.",Medium,True,28131433; 36447332; 33321509; 23647281; 42109285; 38711385; 26228536,,"Deliberately uses mindfulness rather than the exact ingestion search term mindfulness-based intervention - tests semantic retrieval over exact keyword overlap - manually research of studies in ncbi indicate mindfulness based stress reduction was effective in reducing general anxiety disorder. The artifacts retrieved points to real caveats such as, one artifact finding that MBCT is not superior to an active control and another noting it is best using in conjunction with other treatments"
9,GAD,Benzodiazepine,Diazepam is a safe long-term treatment for generalized anxiety disorder in patients with a history of substance abuse.,semantic,Contradicted,Contradicted,"Benzodiazepines, including diazepam, are generally considered appropriate for short-term treatment of generalized anxiety disorder (GAD). However, their adverse side-effect profile and potential for abuse and dependence make them less ideal for long-term treatment, especially in individuals with a history of substance abuse. Antidepressants such as SSRIs and SNRIs are recommended as first-line long-term treatments due to their efficacy and better tolerability. [12625796, 15853570, 19450347, 22030083, 21950420] | Alprazolam, another benzodiazepine, is noted to have a potential for abuse and dependence, making it a less safe choice for individuals with a history of substance abuse. While it might be considered for those without such a history with close monitoring, there is a need to reconsider the long-term use of benzodiazepines in general. [37040158] | A pilot study comparing tofisopam and diazepam for GAD found that while both were more effective than placebo, adverse effects and withdrawal symptoms occurred less frequently with tofisopam. This suggests that diazepam, while effective in the short-term, may have a less favorable long-term safety and tolerability profile compared to alternatives. [38276013]","The evidence strongly advises against long-term use of benzodiazepines like diazepam for generalized anxiety disorder, particularly in patients with a history of substance abuse, due to risks of adverse side effects, abuse, and dependence. Safer and more appropriate long-term options like antidepressants are recommended.","The evidence indicates that benzodiazepines are primarily recommended for short-term treatment of GAD. Long-term treatment is better served by antidepressants (SSRIs/SNRIs) and psychotherapy (CBT). The risk of abuse and dependence with benzodiazepines is a significant concern, especially for patients with a history of substance abuse.",High,True,38276013; 21950420; 15853570; 12625796; 22030083; 37040158; 19450347,,Uses specific drug name; source explicitly warns against this population
10,GAD,SSRI,Lexapro cures generalized anxiety disorder.,semantic,Insufficient evidence,Supported with caveat,"Escitalopram (an SSRI) and venlafaxine (an SNRI) are recommended as first-line treatments for generalized anxiety disorder (GAD) due to their established efficacy and reasonable tolerability. [21309121, 25225022, 21950420] | SSRIs and SNRIs are effective in treating GAD, often as a first-line pharmacotherapy. They also offer the benefit of treating comorbid depression. [15853570, 12625796, 25225022, 21309121] | While antidepressants like paroxetine and venlafaxine have shown efficacy in patients with GAD, and long-term efficacy has been demonstrated with venlafaxine, the goal of treatment should extend beyond symptom resolution to improved functioning and quality of life. [15853570] | GAD is a chronic condition, and less than half of individuals achieve full remission after 5 years. Treatment is often long-term, and while efficacy is established for acute treatment, long-term treatment and treatment-resistant GAD remain challenging. [21950420, 21309121, 19450347, 22030083] | Antidepressants, buspirone, and benzodiazepines are among the medications that can be used to treat GAD. [37900518] | While escitalopram is mentioned as an effective treatment for GAD, the provided abstracts do not specifically state that it 'cures' the disorder, but rather that it is effective and indicated for treatment. [19450347, 22030083, 21309121]","The evidence supports the efficacy of Lexapro (escitalopram) as a treatment for generalized anxiety disorder (GAD), particularly as a first-line option alongside other SSRIs and SNRIs. However, the term 'cures' is too strong; the evidence indicates effectiveness in treatment, symptom reduction, and management, but not necessarily a complete cure, especially considering the chronic nature of GAD and the fact that less than half of individuals achieve full remission after 5 years. Treatment is often long-term, and challenges remain with long-term management and treatment resistance.","GAD is characterized by excessive, uncontrollable worry and requires long-term therapy. It is associated with impaired social and occupational functioning and often co-occurs with depression. Treatment goals include not only symptom resolution but also improved functioning and quality of life. While pharmacological treatments are standard care, psychotherapy, particularly cognitive behavioral therapy (CBT), is also effective and may be used alone or in combination with medication. Long-term treatment and management of treatment-resistant GAD remain challenging. The abstracts list escitalopram as an SSRI indicated for GAD treatment.",High,False,37900518; 21950420; 21309121; 19450347; 15853570; 12625796; 22030083; 25225022,,"Uses brand name (Lexapro = escitalopram) instead of drug class - tests brand-name matching plus overclaim detection, Insufficient evidence makes sense in this case as there is not a study that directly contradicts Lexapro's ability to ""cure"" GAD."
