id,treatment,claim,category,expected_verdict,actual_verdict,actual_citations,actual_explanation,investigation_notes
2,Applied Relaxation,A relaxation-based technique that teaches patients to systematically relax muscle groups is effective for generalized anxiety disorder.,well-supported,Supported,Supported with caveat,18221441; 22506794; 23731329; 19218829; 23888107; 10937426; 35311299,"The evidence indicates that Applied Relaxation (AR), a technique involving learning relaxation skills and applying them at the first sign of anxiety, is an efficacious treatment for Generalized Anxiety Disorder (GAD). Multiple studies show AR leads to significant symptom reductions, comparable to other established treatments like Cognitive Behavioral Therapy (CBT). However, the evidence also suggests that the mechanisms of action are not fully understood, with some studies finding that change in worry may not be as strongly accounted for by AR as by CBT, and that clinical effects might be moderate and not solely attributable to reduced muscle tension or autonomic activation. Additionally, some studies noted a moderate dropout rate and occasional relapses.","Originally expected 'Supported', but after reviewing the cited PubMed evidence, the studies do confirm AR as an effective treatment — while also reflecting some mechanism uncertainty and moderate dropout/relapse rates. The 'Supported with caveat' rating correctly reflects this data, and notably reflects the model's ability to track evidence complexity rather than just treatment status."
5,Buspirone,Buspirone is an effective treatment for generalized anxiety disorder.,second-line,Supported,Supported with caveat,26288293; 30056792; 21950420; 25389538; 12625796; 41562592; 25268297,"Buspirone is recognized as a treatment option for generalized anxiety disorder (GAD), with some sources indicating it as a second-line pharmacotherapy after SSRIs and SNRIs in adults. However, it is noted that buspirone has negligible antidepressant action, which is relevant as depression is often comorbid with GAD. One study also suggests that buspirone may be more effective when combined with mindfulness-based cognitive therapy (MBCT), although further prospective trials are warranted for this combination. Evidence for buspirone's efficacy in panic disorder is unclear and suggests lower acceptability compared to placebo.","Originally expected ""Supported,"" but the evidence shows real caveats — buspirone's second-line positioning after SSRIs/SNRIs, and its negligible effect on comorbid depression (common in GAD patients). The ""Supported with caveat"" rating correctly reflects this. However, the explanation also includes an unrelated finding about panic disorder efficacy — a different condition entirely — without clarifying its relevance, suggesting the system doesn't always filter retrieved content down to what's strictly on-topic for the claim being evaluated."
6,Acceptance and Commitment Therapy,ACT is an effective treatment for generalized anxiety disorder.,second-line,Supported,Supported with caveat,42112706; 41086425; 33560232; 34542399; 23647281; 31944806; 33852722,"The evidence suggests that Acceptance and Commitment Therapy (ACT) has preliminary support as an efficacious treatment for adults with Generalized Anxiety Disorder (GAD). Several studies indicate reductions in anxiety symptoms and improvements in psychological flexibility. However, one review noted significant variability in study design and methodological rigor. Furthermore, some studies focused on specific populations, such as older adults with treatment-resistant GAD, or digital therapeutic adaptations of ACT, rather than ACT as a standalone treatment for the general GAD population. One randomized controlled trial found ACT to be comparable to applied relaxation for GAD, rather than superior. One study specifically examined a two-session ACT protocol for depression and GAD, which is a limited scope compared to the general claim.","Originally expected ""Supported,"" but the evidence shows real caveats — methodological variability across studies, findings specific to certain populations (older adults, treatment-resistant, digital formats) rather than the general GAD population, and one trial showing ACT comparable to (not superior to) applied relaxation. The ""Supported with caveat"" rating correctly reflects this.Manual review of PMID 33560232 confirms the model's caveat was appropriately calibrated — this cited study shows real symptom improvement but is a small, uncontrolled pilot where the ACT-specific mechanism outcome (psychological flexibility) did not reach significance, illustrating the exact kind of methodological variability the system's caveat referenced."
3,SSRI,Escitalopram is effective for reducing symptoms of anxiety.,well-supported,Supported,Supported with caveat,31473564; 30712879; 32002937; 33424664; 41356682; 41692055,"Escitalopram has demonstrated efficacy in reducing symptoms of generalized anxiety disorder (GAD), as evidenced by network meta-analyses comparing it to placebo and other first-line drugs. It is recommended as a first-line treatment for GAD. However, one study noted that its efficacy might be influenced by genetic polymorphisms and oxytocin signaling, with potential sex-specific effects, suggesting personalized treatment approaches may be beneficial. Another study indicated that while perceived stress at four weeks can predict treatment outcomes for both anxiety and depression with escitalopram monotherapy, this finding requires replication.","Originally expected ""Supported,"" but the model added a caveat citing genetic/oxytocin-related and predictor-based findings from smaller, exploratory studies — even though two of the six cited sources (31473564: 41-RCT network meta-analysis; 30712879: Lancet, 89 trials/25,441 patients) already establish escitalopram's efficacy decisively on their own. This suggests the system doesn't weigh evidence strength/study size when deciding whether a caveat applies — a single hedged, exploratory finding can trigger ""Supported with caveat"" even when multiple large, high-quality studies independently support a clean ""Supported."""
13,Electroconvulsive Therapy,Electroconvulsive therapy is more effective than other treatments for severe depression.,well-supported,Supported with caveat,Supported,42339150; 41988667; 41323432; 42389389,"Electroconvulsive therapy (ECT) is identified as the most effective treatment for severe and treatment-resistant depression. The evidence also describes ECT as the ""gold standard treatment"" for treatment-resistant depression. Furthermore, a systematic review and meta-analysis found ECT to significantly reduce the odds of suicide and all-cause mortality in refractory depression, demonstrating a moderate effect size for reducing suicidal ideation while repetitive transcranial magnetic stimulation (rTMS) showed no significant effect on this outcome. While some studies comparing ECT to magnetic seizure therapy (MST) found comparable overall response and remission rates, one sensitivity analysis slightly favored ECT for depression score changes. Another review noted that ECT might be associated with longer remission than ketamine for treatment-resistant depression, although direct comparative studies were lacking for this specific outcome.","Originally expected ""Supported with caveat"" (due to the claim genericizing ""major depressive disorder"" to ""depression""), but the model correctly returned a clean ""Supported"" — manual review of all four cited sources confirms none cast genuine doubt on ECT's core efficacy for severe depression. Crucially, the model correctly separated the strong, distinct support for ECT's efficacy from the specific studies tracking suicide outcomes. The only uncertainty present is narrowly scoped to remission duration versus ketamine specifically (PMID 41988667) and ECT's mechanism (PMID 42339150), neither of which challenges the claim itself or blurs the line between the ECT data and the suicide data."
14,Transcranial Magnetic Stimulation,rTMS is effective for treatment-resistant major depressive disorder.,supported-conditional,Supported with caveat,Supported,42341943; 42383744; 42261501; 42340706; 42164210; 40131590,"Multiple sources of evidence, including systematic reviews and randomized controlled trials, support the efficacy of repetitive transcranial magnetic stimulation (rTMS) for treatment-resistant major depressive disorder (TRD). Specifically, one abstract states directly that ""Repetitive transcranial magnetic stimulation (rTMS) is effective for TRD"" (PMID: 42341943). Another systematic review and network meta-analysis found that in the TRD subgroup, theta burst stimulation (TBS), a form of rTMS, demonstrated significantly superior efficacy to sham stimulation for both response and remission (PMID: 42383744). Additionally, rTMS is recognized as a treatment option for MDD patients who have not adequately responded to antidepressant therapy, which defines TRD (PMID: 42261501, PMID: 42164210, PMID: 40131590). A randomized clinical trial also found that individualized, connectivity-based targeting of accelerated transcranial magnetic stimulation (aTMS), a type of rTMS, enhanced antidepressant effects in participants with treatment-resistant depression (PMID: 42340706).","Originally expected ""Supported with caveat"" to test acronym handling plus precondition surfacing (specifically looking for the model to explicitly call out or restrict its response to rTMS rather than generic TMS). However, the model correctly returned a clean ""Supported"" — manual review of the six cited sources confirms that everything is classified perfectly. The model accurately stated that it is an effective treatment while precisely mapping the relevant studies to the specific rTMS acronym and its exact sub-modalities (like TBS and aTMS) rather than generalizing to broader TMS. This demonstrates that the system successfully validated the precise precondition and acronym scope without needing a forced caveat to get there."
15,Esketamine,Spravato is effective for treatment-resistant major depressive disorder.,supported-conditional,Supported with caveat,Supported,41923438; 39435126; 42164210; 40131590; 42127940; 41765199; 42377806; 41968732,"Esketamine (Spravato) nasal spray is effective for treatment-resistant major depressive disorder (TRD). Evidence indicates that it has been approved as an antidepressant, with some sources stating its approval as the first and only monotherapy for adults with TRD. Other studies highlight its efficacy when administered as an adjunct to antidepressant pharmacotherapy, such as selective serotonin or serotonin norepinephrine reuptake inhibitors (SSRI/SNRI), demonstrating significant long-term clinical and functional benefits for patients with TRD. While it was initially approved as an adjunct, more recent approvals in specific regions (e.g., United States as of January 2025) also include its use as monotherapy for TRD. Studies and reviews consistently report rapid onset of action and clinically meaningful improvements in depressive symptoms.","Originally expected ""Supported with caveat"" based on the long-standing clinical requirement that Spravato be used strictly as an adjunct in conjunction with other traditional antidepressants. However, the model correctly returned a clean ""Supported"" — manual review of the provided evidence confirms this classification is accurate. While Spravato was historically limited to combination therapy, the model correctly identified and integrated more recent data and regulatory updates (such as the January 2025 US expansion) establishing its efficacy and approval as a monotherapy for TRD. The model successfully bypassed the expected adjunct caveat by accurately capturing this evolving clinical scope."
21,SSRI vs SNRI,Sertraline and venlafaxine are similarly effective for treating major depressive disorder.,comparative,Supported,Contradicted,37849303,"Evidence suggests that sertraline and venlafaxine are not similarly effective for treating major depressive disorder, at least in older adults. A nationwide cohort study comparing commonly used antidepressants in older adults found that venlafaxine users had a significantly higher risk of discontinuation, switching, augmentation, cardiovascular events, and mortality compared to sertraline users. Overall, venlafaxine users had more adverse outcomes than sertraline users in this population, indicating sertraline had better clinical outcomes than venlafaxine.","Originally expected ""Supported"" based on broader clinical literature establishing both SSRIs and SNRIs as generally effective treatments. However, the model returned ""Contradicted"" — manual review of the provided evidence (PMID 37849303) confirms the model's classification is accurate based on the specific source text. While both classes are effective broadly, this study directly compares the two drugs in an older adult cohort and demonstrates that they do not share the same efficacy or clinical outcomes, with venlafaxine showing significantly higher risks and adverse events compared to sertraline. The model correctly flagged this direct comparative mismatch rather than relying on a generalized assumption of equal efficacy."
25,Acupuncture,Acupuncture is an effective treatment for major depressive disorder.,out-of-corpus,Insufficient evidence,Supported with caveat,21673208; 34521233; 28700248; 31383703,"Acupuncture has demonstrated limited efficacy in the treatment of major depressive disorder, with some evidence suggesting it may be ineffective. However, other reviews indicate that acupuncture, alongside other non-medication based therapies, has evidence in the treatment of depression, potentially as an add-on adjunct. The overall quality of evidence for acupuncture in treating depression is often described as low or insufficient due to methodological limitations in studies.","Originally expected ""Insufficient evidence"" (primarily because acupuncture was outside the intended search criteria for the corpus, though some sources leaked in via St. John's Wort queries). However, the model returned ""Supported with caveat"" — manual review of the provided evidence confirms that while acupuncture is an actively utilized treatment framework, its actual clinical efficacy remains unknown due to low-quality data and severe methodological limitations. The model should have flagged this as ""Insufficient evidence."" This highlights a broader finding where the model underuses the ""Insufficient evidence"" classification if there is any research around the treatment at all in the corpus, rather than strictly evaluating whether that research proves the treatment is actually effective."
27,Atypical Antidepressants,Bupropion is an effective treatment for major depressive disorder.,second-line,Supported,Supported with caveat,8428898; 38856993; 42284801; 26857948; 21609510,"Bupropion has demonstrated efficacy compared to placebo in the treatment of major depressive disorder. However, one abstract suggests bupropion has a lack of efficacy in treating anxiety, which is a common comorbidity in MDD. Another abstract indicates that bupropion may be less effective for male sexual dysfunction compared to females when used as an adjunct to rTMS. Additionally, the evidence for bupropion's effectiveness as a standalone treatment is not as robustly presented as its effectiveness in combination therapies or as a part of broader treatment guidelines, which include other classes of antidepressants as first-line options. One meta-analysis included bupropion alongside other atypical antidepressants and imipramine, finding all to be effective compared to placebo without statistically significant differences between them. Another review lists 21 antidepressant medications, including bupropion, as having small- to medium-sized effects over placebo.","Originally expected ""Supported"". However, the model returned ""Supported with caveat"" — manual review of the provided evidence confirms that while the core claim is well-supported, the model's attached caveats consist of tangential findings not directly relevant to the evaluation. The model cited bupropion's lack of efficacy for anxiety (a comorbid but separate condition), a narrow side-effect subgroup regarding sexual dysfunction as an rTMS adjunct. This highlights a finding where the model introduces irrelevant or out-of-scope caveats to downgrade a clean claim, rather than strictly focusing on whether the core claim itself is directly challenged by the text."
