id,treatment,claim,expected_verdict,actual_verdict,actual_citations,actual_findings,actual_caveat,notes,investigation_notes
5,Buspirone,Buspirone is an effective treatment for generalized anxiety disorder.,Supported,Supported with caveat,26535760; 21950420; 25268297; 26288293; 30056792; 41562592; 12625796,"Buspirone is identified as a current effective pharmacotherapy for generalized anxiety disorder (GAD). [12625796, 26288293, 26535760, 21950420, 30056792] | Buspirone is considered a second-line pharmacotherapy for adults with GAD, after SSRIs and SNRIs. [30056792] | Buspirone shows efficacy for generalized anxiety, but not for other anxiety disorders. [26535760] | The combination of buspirone with mindfulness-based cognitive therapy (MBCT) showed superior outcomes compared to buspirone alone in patients with GAD. [41562592] | Evidence for buspirone's efficacy in panic disorder is unclear and limited by small sample sizes and low-quality evidence, with some indication of lower acceptability compared to placebo. [25268297] | Buspirone has demonstrated anxiolytic benefits but shows negligible antidepressant action. [12625796]","Buspirone is considered a second-line treatment for generalized anxiety disorder (GAD) in adults, with SSRIs and SNRIs being first-line. Additionally, its efficacy is specifically for generalized anxiety and not other anxiety disorders. Combination therapy with MBCT has shown superior outcomes to buspirone alone.",Exact term control claim; drug name has no common synonym to test,
8,Mindfulness-Based Intervention,Mindfulness is an effective treatment for generalized anxiety disorder.,Supported,Supported with caveat,42109285; 26228536; 38711385; 28131433; 36447332; 23647281; 33321509,"A mindfulness-based intervention (MBI), when used as an adjunct to pharmacotherapy, was found to significantly reduce anxiety and improve other outcomes like sleep quality and psychosocial functioning in adults with generalized anxiety disorder (GAD). [42109285] | One study indicated that self-compassion and non-judgement of inner experience, rather than mindfulness state itself, mediated the association between worry symptoms and anxiety reduction in GAD treatment. [36447332] | A brief mindfulness ecological momentary intervention (MEMI) showed that reduced reactivity to inner experiences significantly mediated stronger efficacy of MEMI over a self-monitoring control app in reducing GAD severity. [38711385] | Mindfulness-Based Stress Reduction (MBSR) led to greater reductions in stress markers (adrenocorticotropic hormone and inflammatory cytokines) compared to an attention control group in adults with GAD, suggesting enhanced resilience to stress. [28131433] | A mindfulness-based intervention (Body in Mind Training, BMT) was not found to be superior to an active comparison group (Quality of Life and Psychoeducation) or non-inferior to fluoxetine in reducing anxiety as measured by the HAM-A. Furthermore, both the active comparison and fluoxetine were superior to BMT in reducing worry symptoms (PSWQ). [33321509] | An acceptance-based behavior therapy (ABBT), which incorporates mindfulness- and acceptance-based strategies, showed comparable improvement in GAD symptoms to applied relaxation (AR) over treatment and follow-up. [23647281, 26228536] | Increases in mindfulness over treatment were associated with decreases in interpersonal problems in individuals with GAD receiving acceptance-based behavior therapy. [26228536]","One study found that a specific mindfulness-based intervention (BMT) was not superior to an active control or non-inferior to fluoxetine for GAD, and was inferior to both on worry symptom reduction. Another study suggested that specific components like self-compassion and non-judgement of inner experience, rather than mindfulness state itself, might be key mediators of improvement. Furthermore, some evidence indicates mindfulness-based interventions are effective as an adjunct to pharmacotherapy or as part of an acceptance-based behavioral therapy, rather than as a standalone treatment.",Deliberately uses mindfulness rather than the exact ingestion search term mindfulness-based intervention - tests semantic retrieval over exact keyword overlap - manually research of studies in ncbi indicate mindfulness based stress reduction was effective in reducing general anxiety disorder.,
10,SSRI,Lexapro cures generalized anxiety disorder.,Contradicted,Insufficient evidence,21950420; 25225022; 22030083; 15853570; 37900518; 21309121; 19450347; 12625796,"The provided evidence does not mention Lexapro (escitalopram) specifically as a treatment for generalized anxiety disorder (GAD). While escitalopram is mentioned as a selective serotonin reuptake inhibitor (SSRI) which is indicated for first-line treatment of GAD, the evidence does not directly support its efficacy or claim it cures the disorder. [21950420, 21309121, 19450347, 22030083, 25225022] | Available treatments for GAD include benzodiazepines, azapirones, some antidepressants (paroxetine, venlafaxine, imipramine, opipramol, sertraline, duloxetine, fluoxetine, fluvoxamine), anticonvulsant and antipsychotic drugs, and psychotherapy such as cognitive behavioral therapy (CBT). [15853570, 12625796, 21950420, 37900518, 19450347, 25225022, 22030083, 21309121] | SSRIs and SNRIs are indicated as first-line treatments for GAD, with efficacy established in placebo-controlled trials. However, long-term treatment and treatment-resistant GAD remain challenging, and not all patients achieve full remission or a satisfactory response. [21950420, 21309121, 25225022] | The claim that Lexapro cures generalized anxiety disorder is not supported by the provided abstracts. The abstracts discuss various treatments for GAD, including SSRIs, but do not provide evidence for a cure, nor do they specifically evaluate Lexapro (escitalopram) in a way that would support such a claim. []","The evidence mentions escitalopram as an SSRI indicated for GAD, but does not directly evaluate its efficacy or claim it cures the disorder.",Uses brand name (Lexapro = escitalopram) instead of drug class - tests brand-name matching plus overclaim detection ,
13,Electroconvulsive Therapy,Electroconvulsive therapy is more effective than other treatments for severe depression.,Supported,Supported with caveat,41997695; 42389389; 42115852; 41323432; 21609510; 42214190; 42339150; 41988667,"In severe depression, electroconvulsive therapy (ECT) is known to improve symptoms. [21609510] | ECT reduces suicidality and all-cause mortality in refractory depression. Treatment with ECT demonstrated a significant decrease in the odds of suicide and a reduction of death from all causes. The standardized mean difference for suicidal ideation before and after ECT suggested a moderate effect size. [41323432] | ECT is an effective treatment for major depressive disorder. [42214190, 42339150] | ECT is highly effective but limited by cognitive side effects. [42389389] | Magnetic seizure therapy (MST) and ECT demonstrated comparable clinical response and remission rates, but sensitivity analysis of depression score changes suggested potential superiority of ECT. [42389389] | MST showed non-inferior efficacy relative to right unilateral ultra-brief pulse-width electroconvulsive therapy (RUL-UB ECT) in achieving remission of depression. [41997695] | There is evidence for sustained therapeutic potential of ECT, possibly associated with longer remission compared to ketamine in treatment-resistant depression. [41988667] | Early improvement during the course of ECT has predictive value for treatment outcomes in major depressive disorder. [42115852]","While ECT is effective for severe depression and has demonstrated efficacy in reducing suicidality and mortality, and potentially has superior outcomes for depression score changes compared to magnetic seizure therapy (MST) in some analyses, it is also associated with cognitive side effects. Furthermore, studies comparing ECT to other treatments like MST show comparable response and remission rates, with MST offering better cognitive safety.",Genericized condition (depression vs major depressive disorder); ncbi states it is the most effective treatment for MDD,
17,Antipsychotics,Antipsychotics are an effective standalone treatment for major depressive disorder.,Contradicted,Insufficient evidence,42066210; 42367531; 41883303; 41572784; 41852370; 11551279; 42090141; 42283956,"The provided abstracts primarily discuss antipsychotics as *adjunctive* or *augmentation* treatments for Major Depressive Disorder (MDD), rather than as a standalone treatment. Several studies explicitly state their focus is on augmentation strategies when conventional antidepressants are insufficient or in treatment-resistant depression. [42090141, 11551279, 42283956, 41883303, 42367531, 41572784, 42066210] | One abstract mentions that the US FDA has approved five atypical antipsychotics for MDD based on efficacy and safety, but this refers to their use as adjunctive treatments, not standalone. [42090141] | While one study notes that atypical antipsychotics *may* have an antidepressant action, particularly for melancholic subtypes, and describes a case series with encouraging impressions, it explicitly calls for controlled studies to establish their role in managing depression, especially treatment-resistant melancholic depression, and does not present them as established standalone treatments for MDD in general. [11551279] | A real-world study in China found that antipsychotic augmentation was the most common co-administration strategy at treatment initiation for MDD, surpassing the use of multiple antidepressants, but this again refers to co-administration, not standalone use. [41852370]","The evidence focuses on the use of antipsychotics as adjunctive or augmentation treatments for Major Depressive Disorder, particularly in cases of inadequate response to antidepressants or treatment-resistant depression. There is no direct evidence within the provided abstracts supporting their efficacy as a standalone treatment for MDD.",Uses specific antipsychotic drug name instead of drug class - tests standalone framing with a named drug,
18,Antipsychotics,Aripiprazole can enhance antidepressant treatment for major depressive disorder.,Supported,Supported with caveat,42090141; 42367531; 11551279,"Adjunctive aripiprazole demonstrated efficacy in enhancing antidepressant treatment for major depressive disorder, with a risk ratio of 1.53 (95% credible interval, 1.32-1.77) for achieving at least a 50% reduction from baseline in the Montgomery-Åsberg Depression Rating Scale (MADRS) score. [42090141] | Aripiprazole exhibited the highest acceptability among the reviewed atypical antipsychotics, with a risk ratio of 1.16 (95% credible interval, 0.89-1.50) for all-cause discontinuation. [42090141] | The aripiprazole-sertraline combination showed consistent improvements in treatment-resistant depression. [42367531] | Adjunctive atypical antipsychotics, including aripiprazole, are indicated as effective treatment strategies for treatment-resistant depression. [42367531] | Aripiprazole, as an atypical antipsychotic, has shown augmentation benefits in some patients with treatment-resistant melancholic depression. [11551279]","The evidence primarily pertains to the adjunctive use of aripiprazole with other antidepressants, particularly in treatment-resistant depression. One study also specifically mentions the aripiprazole-sertraline combination for treatment-resistant depression.","Same drug name as claim 17, adjunct framing instead - tests whether system distinguishes standalone vs adjunct for the same specific drug",
21,SSRI vs SNRI,Sertraline and venlafaxine are similarly effective for treating major depressive disorder.,Supported,Insufficient evidence,37849303; 42066210; 38685594; 24167687; 38379028; 26895080; 41725851,"The provided evidence does not directly compare the efficacy of sertraline and venlafaxine for treating major depressive disorder (MDD). [] | One study noted that compared to sertraline, venlafaxine users had a significantly higher risk of discontinuation and switching, with overall more adverse outcomes compared to sertraline users in older adults. [37849303] | Another study indicated that venlafaxine demonstrated effectiveness in improving symptoms of anhedonia and motivational deficits in patients with MDD. [38685594] | A long-term study comparing 17 antidepressants found that within the serotonin-norepinephrine reuptake inhibitor (SNRI) class, venlafaxine outperformed duloxetine, but did not compare venlafaxine directly to sertraline. [38379028] | Evidence suggests that SNRIs, including venlafaxine, are effective as second-line agents to SSRIs for depression and generalized anxiety disorder, and have consistent evidence for relapse prevention in the maintenance phase. [24167687, 42066210] | Desvenlafaxine, a related SNRI, has shown statistically significant improvements compared to placebo for depressive symptoms, response, and remission rates. [26895080, 41725851]",,Uses specific drug names instead of class names - tests whether system connects both drugs to their respective classes and compares correctly,
24,Vagus Nerve Stimulation,VNS is a first-line treatment for major depressive disorder.,Supported with caveat,Insufficient evidence,39701918; 41890420; 39706521; 42036585; 41884079; 41529263; 39335439; 40127770,"The claim that Vagus Nerve Stimulation (VNS) is a first-line treatment for major depressive disorder (MDD) is not supported by the provided evidence. While VNS is discussed as a treatment for difficult-to-treat or treatment-resistant depression (DTD/TRD), the evidence focuses on its use in patients who have not responded to standard treatments. One review suggests that transcutaneous auricular VNS (taVNS) has the potential to become a first-line therapeutic option in the future, but it is not currently established as such. [41884079, 39706521, 41529263, 39701918, 40127770, 41890420, 39335439, 42036585] | Evidence suggests that implanted VNS is effective for patients with difficult-to-treat depression, as supported by expert consensus, and is included in some guidelines for this population. [41884079] | A randomized, sham-controlled trial demonstrated that while the primary outcome measure (percent time in MADRS response) did not differentiate active from sham VNS, other measures of clinician, patient, and rater assessments showed antidepressant benefits favoring active VNS in patients with marked treatment-resistant depression. [39706521, 40127770] | Studies on VNS for treatment-resistant depression indicate sustained benefits over 24 months, with many participants maintaining their response. [41529263] | Active VNS has been shown to be superior to sham VNS in improving quality of life and psychosocial function in patients with treatment-resistant depression. [39701918] | Transcutaneous auricular vagus nerve stimulation (taVNS) is a promising non-invasive technique that consistently alleviates depressive symptoms, but methodological heterogeneity and small sample sizes currently hinder its clinical translation as a first-line option. [41890420] | taVNS treatment may be effective in modulating the brain's topological organization of functional networks in patients with MDD, potentially reducing symptom severity. [39335439] | Various neurostimulation techniques, including VNS, are reviewed as promising treatments for patients with treatment-resistant depression, but their current use is primarily for this population, not as a first-line option. [42036585]","The evidence specifically addresses VNS as a treatment for difficult-to-treat or treatment-resistant major depressive disorder, not as a first-line treatment for major depressive disorder in general. Transcutaneous auricular VNS is noted to have the potential to become a first-line option in the future, but is not currently established as such.","Uses acronym; source states this is for treatment-resistant cases only, not first-line",
28,Serotonin Modulators,Trazodone is an effective treatment for major depressive disorder.,Supported,Supported with caveat,3133712; 2663151; 8378417; 3321127; 8428898,"Trazodone, along with bupropion and fluoxetine, demonstrated efficacy compared to placebo in treating major depression, with no statistically significant difference in effect size compared to imipramine. [8428898] | In elderly patients diagnosed with Major Depression, trazodone (150 mg) showed comparable clinical outcomes to amitriptyline (75 mg) and mianserin (60 mg) over a 5-week treatment period, with a significant amelioration noted on the Hamilton Rating Scale for Depression and Geriatric Depression Scale. [3133712, 2663151] | Trazodone therapy has been shown to improve sleep disturbances associated with depression by reducing arousals, drowsiness, and REM sleep duration, while increasing restorative slow-wave sleep and stage III and IV NREM sleep. [3321127] | Although research indicates that TCAs, MAOIs, atypical antidepressants, and SSRIs are comparable in efficacy for severe depression, SSRIs are recommended as first-choice agents for specific populations including the elderly. [8378417]",Evidence for trazodone's efficacy is primarily from studies focusing on elderly populations or meta-analyses that included trazodone alongside other atypical antidepressants. One source suggests SSRIs are the first-line choice for the elderly.,Uses specific drug name instead of serotonin modulators class term - previously untested search term,
29,CBT-I,Cognitive behavioral therapy for insomnia improves depression symptoms in patients with major depressive disorder.,Supported,Supported with caveat,39242039; 27788313; 38286128; 37839317; 29455893; 28199710; 29898793; 35061137,"Cognitive behavioral therapy for insomnia (CBT-I) has demonstrated efficacy for both insomnia and depression in adults with Major Depressive Disorder (MDD) and comorbid insomnia. [39242039, 29455893, 35061137] | CBT-I was found to be more beneficial than control conditions for depression response, with a higher response rate than control conditions. [39242039] | Improvements in depressive symptoms were observed beyond the sleep domain. [39242039] | Some evidence suggests that the beneficial effect of CBT-I on depression may be mediated by improved sleep. [29898793, 27788313] | While CBT-I shows significant effects on depressive symptoms, evidence regarding its efficacy as a standalone treatment for depression, independent of insomnia treatment, is mixed or requires further investigation. [28199710, 38286128] | The effectiveness of CBT-I on depression outcomes may be moderated by factors such as evening circadian preference and the severity of depression/anxiety symptoms. [35061137] | CBT-I can lead to higher dropout rates compared to control conditions. [39242039] | Combining CBT-I with other treatments for depression did not consistently show additive benefits for depression severity. [38286128] | Treatment-resistant depression predicted reduced insomnia severity with CBT-I. [37839317]","While CBT-I shows benefits for depression in patients with MDD and insomnia, its effectiveness as a standalone treatment for depression is not definitively established and may be less effective when combined with other depression treatments. Dropout rates can be higher, and effectiveness may be moderated by specific patient characteristics.",Spells out CBT-I in full rather than using the acronym search term - previously untested search term; tests full-term-to-acronym matching in reverse direction,
